"","OBJECTID","CommonGenus","CommonName","BotanicalGenus","Botanical","OnStreet","Location","ConditionTreeHealth","DBH","Height","LandmarkTree","Place"
"203",334691,"katsura","katsuratree","Cercidiphyllum","Cercidiphyllum japonicum","BRAESIDE PL","748 BRAESIDE PL","Very Good","0 - 5","0 - 10","No","Street"
"204",8254,"maple","maple, silver","Acer","Acer saccharinum","GRANGER AVE","1547 GRANGER AVE","Neutral","26 - 30","GT70","Yes","Street"
"205",9557,"hemlock","hemlock, eastern","Tsuga","Tsuga candensis","NORWAY RD","1055 FERDON RD","Good","0 - 5","21-30","No","Street"
"206",14537,"catalpa","catalpa, northern","Catalpa","Catalpa speciosa","MINER ST","720 MINER ST","Bad","21 - 25","21-30","No","Street"
"207",14205,"maple","maple, Norway","Acer","Acer platanoides","GOTT ST","1018 GOTT ST","Neutral","21 - 25","21-30","Yes","Street"
"208",14420,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","MINER ST","1015 MINER ST","Good","21 - 25","51-70","Yes","Street"
"209",14088,"linden","linden, American","Tilia","Tilia americana","BROOKS ST","901 MIXTWOOD RD","Good","16 - 20","51-70","No","Street"
"210",22695,"maple","maple, red","Acer","Acer rubrum","ANN ARBOR SALINE RD","2401 ANN ARBOR SALINE RD","Neutral","6 - 10","11-20","No","Street"
"211",26205,"pine","pine, Austrian","Pinus","Pinus nigra","BROOKFIELD DR","1501 BROOKFIELD DR","Neutral","6 - 10","21-30","No","Borderline"
"212",25566,"pine","pine, Austrian","Pinus","Pinus nigra","W EISENHOWER PKWY","411 W EISENHOWER PKWY","Good","11 - 15","21-30","No","Street"
"213",30404,"hornbeam","hornbeam, American","Carpinus","Carpinus caroliniana","N STATE ST","310 N STATE ST","Very Good","0 - 5","0 - 10","No","Street"
"214",54214,"maple","maple, Norway","Acer","Acer platanoides","E KINGSLEY ST","505 E KINGSLEY ST","Neutral","21 - 25","51-70","Yes","Street"
"215",53999,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","BEAKES ST","327 BEAKES ST","Neutral","0 - 5","0 - 10","No","Street"
"216",54546,"oak","oak, swamp white","Quercus","Quercus bicolor","N MAIN ST","101 E HURON ST","Neutral","0 - 5","10 - 20","No","Street"
"217",348683,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","W HURON ST","400 W WASHINGTON ST","Very Good","0 - 5","0 - 10","No","Street"
"218",30736,"pear","pear, callery","Pyrus","Pyrus calleryana","N FIRST ST","200 N FIRST ST","Bad","6 - 10","21-30","No","Street"
"219",30521,"oak","oak, swamp white","Quercus","Quercus bicolor","W LIBERTY ST","101 W LIBERTY ST","Very Good","0 - 5","0 - 10","No","Street"
"220",293569,"blackgum","blackgum","Nyssa","Nyssa sylvatica","S FIFTH AVE","438 S FIFTH AVE","Very Good","0 - 5","0 - 10","No","Street"
"221",349015,"katsura","katsuratree","Cercidiphyllum","Cercidiphyllum japonicum","S FOURTH AVE","538 S FOURTH AVE","Very Good","0 - 5","0 - 10","No","Street"
"222",433251,"honeylocust","honeylocust, thornless","Gledistia","Gleditsia triacanthos inermis","S FIFTH AVE","301 E LIBERTY ST","Neutral","0 - 5","10 - 20","No","Street"
"223",54331,"elm","elm, American","Ulmus","Ulmus americana","N FIFTH AVE","200 N FIFTH AVE","Very Good","0 - 5","10 - 20","No","Street"
"224",41550,"yellowwood","yellowwood, American","Cladrastis","Cladrastis kentukea","NIXON RD","2630 TRAVER BLVD","Very Good","0 - 5","0 - 10","No","Street"
"225",40886,"hornbeam","hornbeam, American","Carpinus","Carpinus caroliniana","LEXINGTON DR","3110 LEXINGTON DR","Neutral","0 - 5","0 - 10","No","Street"
"226",48712,"spruce","spruce, white","Picea","Picea glauca","SUGARBUSH PARK","SUGARBUSH PARK","Good","6 - 10","31-50","No","Park"
"227",50040,"oak","oak, bur","Quercus","Quercus macrocarpa","GALLUP PARK","GALLUP PARK","Neutral","16 - 20","51-70","Yes","Park"
"228",5715,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","S FIRST ST","532 S FIRST ST","Good","11 - 15","30 - 50","No","Street"
"229",13541,"hawthorn","hawthorn, spp.","Crataegus","Crataegus spp.","PLYMOUTH RD","1600 PLYMOUTH RD","Neutral","0 - 5","11-20","No","Street"
"230",43185,"locust","locust, black","Robinia","Robinia pseudoacacia","TRAVER RD","1520 TRAVER RD","Neutral","21 - 25","51-70","No","Borderline"
"231",13756,"oak","oak, northern red","Quercus","Quercus rubra","BROADWAY ST","1501 BROADWAY ST","Good","21 - 25","51-70","Yes","Street"
"232",20371,"spruce","spruce, Colorado","Picea","Picea pungens","PLYMOUTH PARKWAY","PLYMOUTH PARKWAY","Neutral","6 - 10","31-50","No","Park"
"233",42853,"oak","oak, bur","Quercus","Quercus macrocarpa","PONTIAC TRL","809 TAYLOR ST","Neutral","21 - 25","51-70","Yes","Street"
"234",48048,"maple","maple, Norway","Acer","Acer platanoides","NEWPORT RD","2080 NEWPORT RD","Good","16 - 20","51-70","Yes","Street"
"235",3938,"maple","maple, sugar","Acer","Acer saccharum","NEEDHAM RD","2105 NEEDHAM RD","Good","11 - 15","31-50","No","Street"
"236",21367,"walnut","walnut, black","Juglans","Juglans nigra","MANCHESTER PARK","MANCHESTER PARK","Bad","0 - 5","11-20","No","Park"
"237",37898,"oak","oak, northern red","Quercus","Quercus rubra","CARHART AVE","2000 CARHART AVE","Good","6 - 10","21-30","No","Street"
"238",13873,"sweetgum","sweetgum, American","Liquidambar","Liquidambar styraciflua","JONES DR","1327 JONES DR","Good","0 - 5","11-20","No","Street"
"239",50679,"walnut","walnut, black","Juglans","Juglans nigra","FULLER PARK","FULLER PARK","Good","21 - 25","51-70","Yes","Park"
"241",19375,"pine","pine, Austrian","Pinus","Pinus nigra","BURR OAK PARK","BURR OAK PARK","Neutral","11 - 15","21-30","No","Park"
"242",33392,"maple","maple, Norway","Acer","Acer platanoides","JACKSON RD","2730 JACKSON RD","Neutral","6 - 10","21-30","No","Street"
"243",3723,"sweetgum","sweetgum, American","Liquidambar","Liquidambar styraciflua","DORCHESTER RD","2480 DORCHESTER RD","Very Good","0 - 5","11-20","No","Street"
"244",14752,"maple","maple, Norway","Acer","Acer platanoides","HILLCREST DR","809 HILLCREST DR","Neutral","11 - 15","31-50","No","Street"
"245",20039,"maple","maple, red","Acer","Acer rubrum","HUNT PARK","HUNT PARK","Neutral","11 - 15","51-70","No","Park"
"247",53882,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","DEPOT ST","201 DEPOT ST","Very Good","0 - 5","0 - 10","No","Street"
"248",42521,"aspen/poplar","cottonwood, eastern","Populus","Populus deltoides","LONG SHORE DR","1055 LONG SHORE DR","Good","31 - 35","GT70","Yes","Street"
"249",56206,"zelkova","zelkova, Japanese","Zelkova","Zelkova serrata","E MADISON ST","303 E MADISON ST","Good","11 - 15","31-50","No","Street"
"250",333910,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","W MADISON ST","112 W MADISON ST","Good","0 - 5","0 - 10","No","Street"
"252",297104,"hophornbeam","hophornbeam, American","Ostrya","Ostrya virginiana","ELI DR","3621 ELI DR","Very Good","0 - 5","0 - 10","No","Street"
"253",38894,"maple","maple, red","Acer","Acer rubrum","BRANDYWINE DR","2840 BRANDYWINE DR","Neutral","0 - 5","11-20","No","Street"
"254",20586,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","FORSYTHE PARK","FORSYTHE PARK","Neutral","6 - 10","21-30","No","Park"
"255",12096,"maple","maple, Norway","Acer","Acer platanoides","FOXWAY DR","3104 SPRING HOLLOW CT","Good","6 - 10","11-20","No","Street"
"256",52671,"maple","maple, red","Acer","Acer rubrum","COMMONWEALTH BLVD","2090 COMMONWEALTH BLVD","Good","0 - 5","21-30","No","Street"
"257",52339,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","BLUETT DR","3272 BLUETT DR","Good","11 - 15","31-50","No","Street"
"258",41218,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","BRIARCLIFF ST","2831 BRIARCLIFF ST","Neutral","0 - 5","11-20","No","Street"
"259",13209,"oak","oak, shingle","Quercus","Quercus imbricaria","HURON PKWY","2851 HURON PKWY","Neutral","0 - 5","11-20","No","Street"
"260",12545,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","LAKEHURST LN","2700 LAKEHURST LN","Good","11 - 15","51-70","No","Street"
"261",11881,"maple","maple, red","Acer","Acer rubrum","HICKORY POINT DR","3167 FALCON CT","Good","0 - 5","11-20","No","Street"
"263",29408,"oak","oak, swamp white","Quercus","Quercus bicolor","GREEN BRIER BLVD","3516 GREEN BRIER BLVD","Good","0 - 5","0 - 10","No","Street"
"264",53003,"maple","maple, Norway","Acer","Acer platanoides","PLYMOUTH RD","3600 PLYMOUTH RD","Neutral","16 - 20","31-50","Yes","Street"
"265",339529,"gingko","ginkgo","Gingko","Ginkgo biloba","TRAVER BLVD","2371 LANCASHIRE DR","Very Good","0 - 5","0 - 10","No","Street"
"266",339197,"katsura","katsuratree","Cercidiphyllum","Cercidiphyllum japonicum","TRAVER BLVD","2371 LANCASHIRE DR","Very Good","0 - 5","0 - 10","No","Street"
"267",4270,"maple","maple, Norway","Acer","Acer platanoides","BEACON HILL ST","2745 CANTERBURY RD","Neutral","16 - 20","31-50","Yes","Street"
"268",4602,"lilac","lilac, common","Syringa","Syringa vulgaris","MAPLEWOOD AVE","2517 MAPLEWOOD AVE","Neutral","0 - 5","11-20","No","Street"
"269",295112,"coffeetree","Kentucky coffeetree","Gymnocladus","Gymnocladus dioicus","EDGEWOOD DR","3330 EDGEWOOD DR","Very Good","0 - 5","0 - 10","No","Street"
"270",5266,"dogwood","dogwood, flowering","Cornus","Cornus florida","GLENWOOD RD","2840 OVERRIDGE DR","Bad","0 - 5","21-30","No","Street"
"271",28861,"hackberry","hackberry, common","Celtis","Celtis occidentalis","GREENHILLS DR","830 GREENHILLS DR","Good","0 - 5","11-20","No","Street"
"272",51675,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","ARLINGTON BLVD","1460 ARLINGTON BLVD","Good","0 - 5","0 - 10","No","Borderline"
"273",51011,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","HUNTING VALLEY RD","3055 FOXCROFT RD","Neutral","11 - 15","31-50","No","Street"
"274",5383,"cherry/plum","cherry, black","Prunus","Prunus serotina","OVERRIDGE DR","2945 OVERRIDGE DR","Neutral","11 - 15","51-70","No","Street"
"275",51343,"sweetgum","sweetgum, American","Liquidambar","Liquidambar styraciflua","DEVONSHIRE RD","2996 DEVONSHIRE RD","Very Good","0 - 5","0 - 10","No","Street"
"276",49376,"pine","pine, Austrian","Pinus","Pinus nigra","LESLIE PARK","LESLIE PARK","Good","0 - 5","11-20","No","Park"
"277",760,"elm","elm, American","Ulmus","Ulmus americana","WYNNSTONE DR","1210 WYNNSTONE DR","Good","0 - 5","0 - 10","No","Street"
"278",11217,"hornbeam","hornbeam, European","Carpinus","Carpinus betulus","GLAZIER WAY","3641 WALDENWOOD DR","Good","0 - 5","0 - 10","No","Street"
"279",46720,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","CENTER DR","812 CENTER DR","Good","26 - 30","51-70","Yes","Street"
"280",47501,"baldcypress","baldcypress, common","Taxodium","Taxodium distichum","SEQUOIA PKWY","2731 SEQUOIA PKWY","Good","0 - 5","0 - 10","No","Street"
"281",18711,"oak","oak, white","Quercus","Quercus alba","HOLLYWOOD PARK","HOLLYWOOD PARK","Neutral","16 - 20","51-70","Yes","Park"
"282",47052,"maple","maple, Miyabei","Acer","Acer rubrum","KUEHNLE AVE","779 KUEHNLE AVE","Very Good","0 - 5","0 - 10","No","Street"
"283",47716,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","RAVENWOOD AVE","1116 RAVENWOOD AVE","Good","6 - 10","21-30","No","Street"
"284",48380,"hackberry","hackberry, common","Celtis","Celtis occidentalis","OLSON PARK","OLSON PARK","Bad","0 - 5","11-20","No","Park"
"285",2395,"maple","maple, Norway","Acer","Acer platanoides","HARPST ST","1429 HARPST ST","Neutral","11 - 15","31-50","No","Street"
"286",7590,"maple","maple, silver","Acer","Acer saccharinum","SHADFORD RD","1617 SHADFORD RD","Bad","21 - 25","51-70","Yes","Street"
"288",29193,"oak","oak, swamp white","Quercus","Quercus bicolor","EARHART RD","901 EARHART RD","Bad","11 - 15","31-50","No","Street"
"289",28744,"oak","oak, white","Quercus","Quercus alba","WALDENWOOD DR","3930 WALDENWOOD DR","Neutral","21 - 25","51-70","Yes","Street"
"290",10885,"oak","oak, black","Quercus","Quercus velutina","PENBERTON CT","3840 PENBERTON CT","Good","6 - 10","31-50","No","Street"
"291",36355,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","S INDUSTRIAL HWY","2459 S INDUSTRIAL HWY","Neutral","0 - 5","21-30","No","Street"
"292",2727,"maple","maple, sugar","Acer","Acer saccharum","MARLBOROUGH DR","2434 TREMMEL AVE","Good","11 - 15","31-50","No","Street"
"293",3059,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","PACKARD ST","2222 PACKARD ST","Good","0 - 5","11-20","No","Street"
"294",38015,"maple","maple, Norway","Acer","Acer platanoides","CRESTLAND DR","2207 PACKARD ST","Good","6 - 10","31-50","No","Street"
"295",37566,"maple","maple, Norway","Acer","Acer platanoides","SOUTH BLVD","1501 SOUTH BLVD","Good","6 - 10","21-30","No","Street"
"296",10553,"pine","pine, eastern white","Pinus","Pinus strobus","HUNTINGTON PL","436 HUNTINGTON PL","Neutral","6 - 10","21-30","No","Street"
"299",54995,"pine","pine, Scotch","Pinus","Pinus sylvestris","ALLMENDINGER PARK","ALLMENDINGER PARK","Good","11 - 15","31-50","No","Park"
"300",55874,"maple","maple, red","Acer","Acer rubrum","RUSSETT RD","825 RUSSETT RD","Neutral","11 - 15","31-50","No","Street"
"301",45509,"coffeetree","Kentucky coffeetree","Gymnocladus","Gymnocladus dioicus","FRANKLIN CT S","1785 FRANKLIN CT S","Good","11 - 15","51-70","No","Street"
"302",45392,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","GARDEN HOMES CT","2135 GARDEN HOMES CT","Good","11 - 15","51-70","No","Street"
"303",16744,"maple","maple, silver","Acer","Acer saccharinum","SEQUOIA PKWY","915 PATRICIA AVE","Bad","11 - 15","51-70","No","Street"
"304",47169,"maackia","Amur maackia","Maackia","Maackia amurensis","PATRICIA AVE","1208 PATRICIA AVE","Neutral","0 - 5","0 - 10","No","Street"
"305",7922,"linden","linden, littleleaf","Tilia","Tilia cordata","S STATE ST","2178 S STATE ST","Neutral","6 - 10","31-50","No","Street"
"306",4055,"maple","maple, Norway","Acer","Acer platanoides","EASY ST","2890 EASY ST","Good","11 - 15","31-50","No","Street"
"307",46837,"maple","maple, paperbark","Acer","Acer griseum","PAMELA AVE","2606 PAMELA AVE","Neutral","0 - 5","0 - 10","No","Street"
"308",16412,"planetree/sycamore","sycamore, American","Platanus","Platanus occidentalis","CARBECK DR","814 CARBECK DR","Good","21 - 25","GT70","Yes","Street"
"309",45060,"maple","maple, sugar","Acer","Acer saccharum","ARGYLE CRES","1451 ARGYLE CRES","Neutral","16 - 20","31-50","Yes","Street"
"310",24570,"maple","maple, Freeman","Acer","Acer x freemanii","MEADOWSIDE DR","1819 MEADOWSIDE DR","Good","0 - 5","21-30","No","Street"
"311",38562,"zelkova","zelkova, Japanese","Zelkova","Zelkova serrata","ELMWOOD AVE","2898 ELMWOOD AVE","Good","6 - 10","21-30","No","Street"
"313",38347,"maple","maple, sugar","Acer","Acer saccharum","CRANBROOK RD","2808 CRANBROOK RD","Good","21 - 25","51-70","Yes","Street"
"316",39011,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","PINECREST AVE","2411 PINECREST AVE","Neutral","6 - 10","31-50","No","Street"
"317",4719,"hornbeam","hornbeam, European","Carpinus","Carpinus betulus","EDGEWOOD DR","3437 EDGEWOOD DR","Very Good","0 - 5","0 - 10","No","Street"
"318",4934,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","YOST BLVD","2281 YOST BLVD","Good","16 - 20","51-70","Yes","Street"
"319",5051,"maple","maple, Norway","Acer","Acer platanoides","BRISTOL CT","2 BRISTOL CT","Neutral","16 - 20","31-50","Yes","Street"
"320",50773,"spruce","spruce, white","Picea","Picea glauca","HEATHERWAY ST","1351 GLENDALOCH CIR","Bad","0 - 5","0 - 10","No","Street"
"321",39366,"pine","pine, eastern white","Pinus","Pinus strobus","MELROSE AVE","2226 MELROSE AVE","Neutral","11 - 15","GT70","No","Street"
"323",22887,"maple","maple, Norway","Acer","Acer platanoides","KING GEORGE BLVD","1289 KING GEORGE BLVD","Neutral","16 - 20","51-70","Yes","Street"
"324",37374,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","E EISENHOWER PKWY","2871 E EISENHOWER PKWY","Good","11 - 15","31-50","No","Street"
"325",174972,"coffeetree","Kentucky coffeetree","Gymnocladus","Gymnocladus dioicus","E EISENHOWER PKWY","1380 KING GEORGE BLVD","Very Good","0 - 5","0 - 10","No","Street"
"326",36879,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","KING GEORGE BLVD","1393 KING GEORGE BLVD","Very Good","0 - 5","0 - 10","No","Street"
"327",37042,"oak","oak, northern red","Quercus","Quercus rubra","E OAKBROOK DR","1000 E OAKBROOK DR","Neutral","0 - 5","11-20","No","Street"
"328",17477,"linden","linden, littleleaf","Tilia","Tilia cordata","HOLYOKE LN","2763 HOLYOKE LN","Neutral","6 - 10","31-50","No","Street"
"329",3153,"maple","maple, Norway","Acer","Acer platanoides","EMBER WAY","2870 EMBER WAY","Neutral","6 - 10","11-20","No","Street"
"330",3251,"oak","oak, swamp white","Quercus","Quercus bicolor","GLADSTONE AVE","2780 GLADSTONE AVE","Good","0 - 5","21-30","No","Street"
"331",2821,"maple","maple, Norway","Acer","Acer platanoides","PACKARD RD","2986 SHADY LN","Neutral","0 - 5","21-30","No","Street"
"334",23050,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","TACOMA CIR","3344 TACOMA CIR","Very Good","0 - 5","0 - 10","No","Street"
"335",24547,"elm","elm, Accolade","Ulmus","Ulmus accolade","BIRCH HOLLOW DR","3220 BIRCH HOLLOW DR","Very Good","0 - 5","0 - 10","No","Street"
"337",21227,"pine","pine, Austrian","Pinus","Pinus nigra","BUHR PARK","BUHR PARK","Neutral","11 - 15","31-50","No","Park"
"338",16481,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","FAYE DR","2215 FAYE DR","Neutral","0 - 5","11-20","No","Street"
"339",18473,"hawthorn","hawthorn, spp.","Crataegus","Crataegus spp.","VETERANS MEMORIAL PARK","VETERANS MEMORIAL PARK","Neutral","0 - 5","11-20","No","Park"
"340",9820,"elm","elm, American","Ulmus","Ulmus americana","HIGHLAND RD","405 HIGHLAND RD","Very Good","0 - 5","0 - 10","No","Street"
"341",23219,"maple","maple, Norway","Acer","Acer platanoides","N BAYLIS DR","2922 N BAYLIS DR","Neutral","16 - 20","31-50","Yes","Street"
"343",14489,"maple","maple, silver","Acer","Acer saccharinum","FELCH ST","603 FOUNTAIN ST","Neutral","16 - 20","51-70","No","Street"
"344",26468,"maple","maple, hedge","Acer","Acer campestre","RESEARCH PARK DR","3965 RESEARCH PARK DR","Good","0 - 5","11-20","No","Street"
"345",32133,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","WINEWOOD AVE","2131 WINEWOOD AVE","Good","11 - 15","31-50","No","Street"
"346",31469,"yellowwood","yellowwood, American","Cladrastis","Cladrastis kentukea","VIRGINIA AVE","323 VIRGINIA AVE","Very Good","0 - 5","0 - 10","No","Street"
"347",31137,"arborvitae","arborvitae, eastern","Thuja","Thuja occidentalis","BUENA VISTA AVE","230 BUENA VISTA AVE","Neutral","0 - 5","0 - 10","No","Street"
"348",55350,"maple","maple, Norway","Acer","Acer platanoides","EBERWHITE BLVD","519 EBERWHITE BLVD","Neutral","16 - 20","31-50","Yes","Street"
"349",19066,"pine","pine, eastern white","Pinus","Pinus strobus","WATERWORKS PARK","WATERWORKS PARK","Neutral","6 - 10","31-50","No","Park"
"350",19137,"maple","boxelder","Acer","Acer negundo","WEST PARK","WEST PARK","Neutral","6 - 10","51-70","No","Park"
"351",42452,"oak","oak, white","Quercus","Quercus alba","LONG SHORE DR","1720 LONG SHORE DR","Neutral","0 - 5","0 - 10","No","Street"
