"","OBJECTID","CommonGenus","CommonName","BotanicalGenus","Botanical","OnStreet","Location","ConditionTreeHealth","DBH","Height","LandmarkTree","Place"
"1803",50541,"pine","pine, Austrian","Pinus","Pinus nigra","SOUTHEAST AREA PARK","SOUTHEAST AREA PARK","Good","6 - 10","31-50","No","Park"
"1804",150515,"maple","maple, Miyabei","Acer","Acer miyabei","RUNNYMEDE BLVD","2205 RUNNYMEDE BLVD","Very Good","0 - 5","0 - 10","No","Street"
"1805",35983,"maackia","Amur maackia","Maackia","Maackia amurensis","NORFOLK AVE","2019 NORFOLK AVE","Neutral","0 - 5","11-20","No","Street"
"1806",19,"maple","maple, red","Acer","Acer rubrum","W DOBSON PL","3125 W DOBSON PL","Good","6 - 10","21-30","No","Street"
"1807",11380,"spruce","spruce, Colorado","Picea","Picea pungens","GLAZIER WAY","3081 GLAZIER WAY","Neutral","6 - 10","31-50","No","Street"
"1808",21954,"maple","maple, sugar","Acer","Acer saccharum","MERSHON DR","2075 MERSHON DR","Neutral","0 - 5","11-20","No","Street"
"1809",22655,"oak","oak, northern red","Quercus","Quercus rubra","DELAWARE DR","2209 DELAWARE DR","Neutral","0 - 5","11-20","No","Street"
"1810",21622,"birch","birch, river","Betula","Betula nigra","ASCOT RD","2104 ASCOT RD","Good","0 - 5","11-20","No","Street"
"1811",331651,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","SCIO CHURCH RD","600 SCIO CHURCH RD","Good","0 - 5","0 - 10","No","Street"
"1812",21659,"pear","pear, callery","Pyrus","Pyrus calleryana","SCIO CHURCH RD","641 SCIO CHURCH RD","Neutral","0 - 5","11-20","No","Street"
"1813",8638,"maple","maple, sugar","Acer","Acer saccharum","WELLS ST","1603 WELLS ST","Neutral","16 - 20","51-70","No","Street"
"1814",8724,"maple","maple, silver","Acer","Acer saccharinum","LINCOLN AVE","1503 WELLS ST","Neutral","16 - 20","51-70","Yes","Street"
"1815",144478,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","CHURCH ST","1016 CHURCH ST","Very Good","0 - 5","0 - 10","No","Street"
"1816",7003,"maple","maple, Norway","Acer","Acer platanoides","DEWEY AVE","821 DEWEY AVE","Neutral","16 - 20","51-70","No","Street"
"1817",20626,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","EBERBACH CULTURAL ARTS BUILDING","EBERBACH CULTURAL ARTS","Neutral","0 - 5","11-20","No","Park"
"1818",8294,"maple","maple, Norway","Acer","Acer platanoides","S FOREST AVE","1306 S FOREST AVE","Neutral","16 - 20","51-70","Yes","Street"
"1819",7642,"maple","maple, Norway","Acer","Acer platanoides","PACKARD ST","1317 PACKARD ST","Neutral","11 - 15","31-50","No","Street"
"1820",8626,"maple","maple, Norway","Acer","Acer platanoides","BALDWIN AVE","1118 BALDWIN AVE","Neutral","16 - 20","51-70","Yes","Street"
"1821",14343,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","MINER ST","1012 MINER ST","Neutral","6 - 10","21-30","No","Street"
"1822",14048,"maple","maple, Norway","Acer","Acer platanoides","BROOKS ST","1227 BYDDING RD","Neutral","16 - 20","31-50","No","Street"
"1823",14380,"spruce","spruce, Colorado","Picea","Picea pungens","ROBIN RD","606 ROBIN RD","Neutral","11 - 15","31-50","No","Borderline"
"1825",14245,"linden","linden, littleleaf","Tilia","Tilia cordata","GOTT ST","725 GOTT ST","Good","11 - 15","21-30","No","Street"
"1826",14675,"maple","maple, sugar","Acer","Acer saccharum","FOUNTAIN ST","623 FOUNTAIN ST","Neutral","21 - 25","51-70","Yes","Street"
"1827",14589,"pagodatree","Japanese pagodatree","Sophora","Sophora japonica","FOUNTAIN ST","822 FOUNTAIN ST","Neutral","16 - 20","31-50","No","Street"
